tokenid,collection_mint_number,asset_token_id,asset_index,token_index
fblck-jykor-uwiaa-aaaaa-cuarg-yaqca-acyhs-a,582,4js47-yqkor-uwiaa-aaaaa-c4chg-yaqca-aaajd-a,582,180708
tdy3u-nikor-uwiaa-aaaaa-cuarg-yaqca-acyae-a,106,4kf4d-aykor-uwiaa-aaaaa-c4chg-yaqca-aaabv-a,106,180232
td3np-4ikor-uwiaa-aaaaa-cuarg-yaqca-acyqi-q,1139,4kgky-rykor-uwiaa-aaaaa-c4chg-yaqca-aaarz-q,1139,181265
t7wbj-wakor-uwiaa-aaaaa-cuarg-yaqca-acywb-q,1509,4l52w-5ykor-uwiaa-aaaaa-c4chg-yaqca-aaaxs-q,1509,181635
t7vxs-hakor-uwiaa-aaaaa-cuarg-yaqca-acygn-a,508,4l6mn-mykor-uwiaa-aaaaa-c4chg-yaqca-aaah6-a,508,180634
ooh6n-7qkor-uwiaa-aaaaa-cuarg-yaqca-acyvb-a,1444,4mqnu-4ikor-uwiaa-aaaaa-c4chg-yaqca-aaaws-a,1444,181570
ooeiw-oqkor-uwiaa-aaaaa-cuarg-yaqca-acyfn-q,445,4mt3p-nikor-uwiaa-aaaaa-c4chg-yaqca-aaag6-q,445,180571
3q2s2-kqkor-uwiaa-aaaaa-cuarg-yaqca-acx7e-q,43,4nilb-bikor-uwiaa-aaaaa-c4chg-yaqca-aaaav-q,43,180169
hpklg-eakor-uwiaa-aaaaa-cuarg-yaqca-acypi-a,1074,4nl52-qikor-uwiaa-aaaaa-c4chg-yaqca-aaaqz-a,1074,181200
fgfdt-zikor-uwiaa-aaaaa-cuarg-yaqca-acyw6-a,1566,4o45g-iakor-uwiaa-aaaaa-c4chg-yaqca-aaayp-a,1566,181692
fggvi-iikor-uwiaa-aaaaa-cuarg-yaqca-acygs-q,519,4o7l5-zakor-uwiaa-aaaaa-c4chg-yaqca-aaaid-q,519,180645
c3lfz-hikor-uwiaa-aaaaa-cuarg-yaqca-acymx-q,913,4pe3t-vakor-uwiaa-aaaaa-c4chg-yaqca-aaaoi-q,913,181039
hs4xo-cikor-uwiaa-aaaaa-cuarg-yaqca-acypk-a,1078,4q5bs-wakor-uwiaa-aaaaa-c4chg-yaqca-aaaq3-a,1078,181204
3nmos-mykor-uwiaa-aaaaa-cuarg-yaqca-acx7g-q,47,4q6xj-hakor-uwiaa-aaaaa-c4chg-yaqca-aaaax-q,47,180173
pi7mo-eikor-uwiaa-aaaaa-cuarg-yaqca-acyfl-q,441,4rfhh-lakor-uwiaa-aaaaa-c4chg-yaqca-aaag4-q,441,180567
fi6nx-2ikor-uwiaa-aaaaa-cuarg-yaqca-acyu7-a,1440,4rgr4-2akor-uwiaa-aaaaa-c4chg-yaqca-aaawq-a,1440,181566
allqb-uqkor-uwiaa-aaaaa-cuarg-yaqca-acymz-q,917,4ssh3-tikor-uwiaa-aaaaa-c4chg-yaqca-aaaok-q,917,181043
f3qja-oakor-uwiaa-aaaaa-cuarg-yaqca-acygq-q,515,4tjxv-7ikor-uwiaa-aaaaa-c4chg-yaqca-aaaib-q,515,180641
f3t73-7akor-uwiaa-aaaaa-cuarg-yaqca-acyw4-a,1562,4tkbo-oikor-uwiaa-aaaaa-c4chg-yaqca-aaayn-a,1562,181688
f456c-pqkor-uwiaa-aaaaa-cuarg-yaqca-acyhq-a,578,4ueax-6ykor-uwiaa-aaaaa-c4chg-yaqca-aaajb-a,578,180704
f46iz-6qkor-uwiaa-aaaaa-cuarg-yaqca-acyx4-q,1627,4uhwm-pykor-uwiaa-aaaaa-c4chg-yaqca-aaazn-q,1627,181753
amghd-vakor-uwiaa-aaaaa-cuarg-yaqca-acynz-a,980,4v7qz-sykor-uwiaa-aaaaa-c4chg-yaqca-aaapk-a,980,181106
szotk-nykor-uwiaa-aaaaa-cuarg-yaqca-acygl-a,504,4wiqf-kqkor-uwiaa-aaaaa-c4chg-yaqca-aaah4-a,504,180630
fpt2v-3ykor-uwiaa-aaaaa-cuarg-yaqca-acyv7-q,1505,4wlg6-3qkor-uwiaa-aaaaa-c4chg-yaqca-aaaxq-q,1505,181631
t6nrh-2akor-uwiaa-aaaaa-cuarg-yaqca-acyqk-q,1143,4xqwq-xqkor-uwiaa-aaaaa-c4chg-yaqca-aaar3-q,1143,181269
t6oh4-lakor-uwiaa-aaaaa-cuarg-yaqca-acyag-a,110,4xtal-gqkor-uwiaa-aaaaa-c4chg-yaqca-aaabx-a,110,180236
